phase,domain,source_id,model,chars,sha256
discovery,abstracts,5995c43a-4d3e-4323-b562-9617d4756b35,human,1370,17139fac3f49d1e9f8fe57710e61cc2b2c52fe00a6cba4127c76c8adf64f8baa
discovery,abstracts,5995c43a-4d3e-4323-b562-9617d4756b35,chatgpt,628,491f69f24c94fb2c28760ec731dda0a63168dac87bc164e8135fc2eeddc2631d
discovery,abstracts,5995c43a-4d3e-4323-b562-9617d4756b35,mistral-chat,809,e5ee265139a6d5a92bec9947a89f30abb68df3fdd2614b91e4621d0a756e0d5e
discovery,abstracts,5995c43a-4d3e-4323-b562-9617d4756b35,mpt-chat,526,7ddc98aa6163873306fec647c8eb7b78354c14a7140346fde4c50644630cec3b
discovery,abstracts,1b783e6d-c247-406b-9df2-31594d256713,human,1102,2e82ba3b8c4ba0ae8d594e390c75c1a6e184dc912dfe607171ea87d34ffd93c2
discovery,abstracts,1b783e6d-c247-406b-9df2-31594d256713,chatgpt,722,2c02213ec3357cd8aa83e49cca984e518834142ea9008fe9ebd5acf06b960af5
discovery,abstracts,1b783e6d-c247-406b-9df2-31594d256713,mistral-chat,682,5dd52626d9102a45bee798eacc61f4532905ab15e4806e74a62cb1296b5f6076
discovery,abstracts,1b783e6d-c247-406b-9df2-31594d256713,mpt-chat,476,9c52259010ee4189754fdc8c49b2257adb8d7ae84577f9c5dbf1823b5089f66f
discovery,abstracts,00c86a83-b27d-4bc2-a582-ca87abc3f306,human,943,1b9e85b1e9056449d19a2d279c4fc71c9f023545115d780ad6e409192da195a3
discovery,abstracts,00c86a83-b27d-4bc2-a582-ca87abc3f306,chatgpt,911,944869a9e0e9c823dbe19f22df8c7c09f18288b45714f959ba50699831a9bcf1
discovery,abstracts,00c86a83-b27d-4bc2-a582-ca87abc3f306,mistral-chat,1010,cc94f4dc259fc4255de396ba25508f02e963bb2300d3922f876116460ec0b00c
discovery,abstracts,00c86a83-b27d-4bc2-a582-ca87abc3f306,mpt-chat,551,3c221e4e3b8d8f841b76671d934d947eaf8703615113096e36b8f9f8f9f9956e
discovery,abstracts,113f7049-1b6d-4caa-8314-2e6af5233f94,human,985,0b5f534936fbcf0c576e1c1376c7cfab4f4a2418f085b7fceb120621ef20a327
discovery,abstracts,113f7049-1b6d-4caa-8314-2e6af5233f94,chatgpt,873,d8caccab56c1c23bdd8f5eb572dd4c0e874d2e288205bf9ad282abd6f89f3a7d
discovery,abstracts,113f7049-1b6d-4caa-8314-2e6af5233f94,mistral-chat,914,6a96d55897ea626d3c98d9f61f7f7101621b476cc3017e89864b17260ea63385
discovery,abstracts,113f7049-1b6d-4caa-8314-2e6af5233f94,mpt-chat,759,035edb5b2ee3ed01922b3a4c64ef9c81abffbfc04a99225c79f506e04f072cbe
discovery,abstracts,ac9c9ef0-28a9-4375-8c25-658458f7887c,human,762,eb433fcf69771ccc268c8ea927a1f9006908428a843c51740295e926b5f456cc
discovery,abstracts,ac9c9ef0-28a9-4375-8c25-658458f7887c,chatgpt,659,00e932d89b4554be9c054a7d1060999fb0cfcb1345ff173790e7eda6e3651a43
