pattern_kind,pattern,discovery_occurrences,discovery_documents_with,discovery_doc_prevalence,discovery_per_10k_sentences,validation_occurrences,validation_documents_with,validation_doc_prevalence,validation_per_10k_sentences,human_occurrences,human_documents_with,human_doc_prevalence,human_per_10k_sentences,hc3_ai_occurrences,hc3_ai_documents_with,hc3_ai_doc_prevalence,hc3_ai_per_10k_sentences,hc3_human_occurrences,hc3_human_documents_with,hc3_human_doc_prevalence,hc3_human_per_10k_sentences,lift_discovery_vs_human,lift_validation_vs_human,lift_hc3_ai_vs_hc3_human,elevated_in_discovery,replicated,verdict,candidate_set
ngram,ingredients 1,27,27,0.075,62.098,7,7,0.0194,12.7,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,64.4596,13.8681,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,making it,18,18,0.05,41.398,19,18,0.05,34.47,1,1,0.0028,1.962,4,3,0.0187,34.752,0,0,0.0,0.0,14.4546,12.019,8.4141,True,False,FAILED_VALIDATION,exploratory
ngram,instructions 1,19,19,0.0528,43.698,6,6,0.0167,10.885,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,45.7077,12.019,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,a significant,24,19,0.0528,55.198,40,29,0.0806,72.569,3,3,0.0083,5.887,4,4,0.025,34.752,3,3,0.0187,27.881,8.204,10.6983,1.202,True,False,FAILED_VALIDATION,exploratory
ngram,the potential,26,23,0.0639,59.798,26,18,0.05,47.17,2,2,0.0056,3.925,7,7,0.0437,60.817,2,2,0.0125,18.587,12.4231,9.8001,2.8047,True,False,FAILED_VALIDATION,exploratory
ngram,in various,22,21,0.0583,50.598,15,13,0.0361,27.213,1,1,0.0028,1.962,3,3,0.0187,26.064,0,0,0.0,0.0,17.5799,9.5536,6.5443,True,False,FAILED_VALIDATION,exploratory
ngram,minutes or until the,24,22,0.0611,55.198,21,19,0.0528,38.099,2,2,0.0056,3.925,0,0,0.0,0.0,0,0,0.0,0.0,11.4855,7.9511,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,known for,48,34,0.0944,110.396,45,32,0.0889,81.64,5,5,0.0139,9.812,18,15,0.0938,156.386,3,3,0.0187,27.881,10.3349,7.6485,4.9416,True,False,FAILED_VALIDATION,exploratory
ngram,insights into,18,18,0.05,41.398,10,10,0.0278,18.142,1,1,0.0028,1.962,0,0,0.0,0.0,0,0,0.0,0.0,14.4546,6.4718,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,or until the,27,25,0.0694,62.098,23,21,0.0583,41.727,3,3,0.0083,5.887,0,0,0.0,0.0,0,0,0.0,0.0,9.2085,6.2076,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,known for his,28,20,0.0556,64.397,22,15,0.0417,39.913,3,3,0.0083,5.887,10,9,0.0563,86.881,1,1,0.0063,9.294,9.5434,5.9435,6.5443,True,False,FAILED_VALIDATION,exploratory
ngram,the field,27,19,0.0528,62.098,20,16,0.0444,36.284,3,3,0.0083,5.887,10,9,0.0563,86.881,3,3,0.0187,27.881,9.2085,5.4152,2.8047,True,False,FAILED_VALIDATION,exploratory
ngram,including the,23,20,0.0556,52.898,48,36,0.1,87.083,8,8,0.0222,15.699,9,9,0.0563,78.193,3,3,0.0187,27.881,3.2402,5.2753,2.5376,True,True,REPLICATED,exploratory
ngram,range of,23,19,0.0528,52.898,26,21,0.0583,47.17,5,5,0.0139,9.812,24,19,0.1187,208.514,5,4,0.025,46.468,5.0076,4.4546,4.1645,True,False,FAILED_VALIDATION,exploratory
